13796,11,0.014366,0.023943,-5.143007
13800,10,9.323497,1.043925,4.621045
13804,9,8.849421,1.939402,4.826957
13808,11,5.439903,2.557138,-1.838841
13811,10,8.404077,3.328110,5.080755
13815,9,8.456751,3.711202,5.224414
13819,11,6.230030,2.547560,-1.838841
13824,10,9.146317,3.739934,5.162162
13828,9,9.682645,3.629795,5.018503
13831,11,0.407035,2.451787,-4.927518
13835,10,10.673895,3.471769,4.716818
13839,9,10.985157,3.356842,4.573158
13843,11,1.230682,2.470942,-4.994559
13847,10,11.234168,2.657699,4.439076
13851,9,11.167126,2.001655,4.558792
13854,11,0.272953,0.483653,-4.903575
13858,10,10.803189,-0.009577,4.850900
13862,9,10.515871,-1.043925,5.032868
13867,11,0.459710,2.777415,-1.920248
13871,10,10.017850,-2.657699,5.052023
13875,9,9.912501,-3.241914,4.970616
13878,11,0.076618,0.019155,-4.908364
13882,10,9.874192,-3.921902,4.774281
13886,9,9.888557,-4.170912,4.712029
13890,11,0.095773,0.038309,-4.941884
13894,10,9.950810,-4.113448,4.702452
13898,9,9.902923,-3.759088,4.625833
13901,11,0.043098,0.330417,-4.941884
13905,10,9.826305,-2.600235,4.295417
13910,9,9.759263,-1.920248,4.008098
13914,11,6.512560,2.954596,-6.129469
13918,10,9.807150,-0.555483,3.404728
13921,9,9.946022,0.081407,3.285012
13925,11,0.167603,0.000000,-6.206087
13929,10,10.104046,1.364764,2.968961
13933,9,10.147145,1.901093,2.839668
13937,11,0.316051,0.114928,-6.742415
13941,10,10.123201,2.595447,2.537983
13944,9,10.060949,2.786993,2.413478
13948,11,0.043098,2.834879,-4.903575
13953,10,9.946022,2.772627,2.336860
13957,9,9.931655,2.557138,2.485308
13961,11,0.076618,0.651256,-6.742415
13964,10,9.859826,1.752645,2.959384
13968,9,9.826305,1.245048,3.194028
13972,11,6.598756,0.076618,-6.474251
13976,10,9.740109,0.177180,3.285012
13980,9,9.701800,-0.100562,3.328110
13983,11,6.445519,2.978539,-6.474251
13987,10,9.476734,-1.053502,3.256280
13991,9,9.357017,-1.374342,3.074312
13996,11,6.282705,3.112621,-6.321014
14000,10,9.352229,-1.541944,2.763050
14004,9,9.357017,-1.403074,2.628968
14007,11,6.321014,2.528406,-6.589179
14011,10,9.562930,-0.670411,2.571504
14015,9,9.596450,-0.143659,2.605024
14019,11,6.526926,0.047886,-6.440731
14023,10,9.625182,0.847591,2.475731
14026,9,9.682645,1.249837,2.537983
14030,11,6.483829,0.004789,-6.589179
14034,10,9.730532,1.752645,2.470942
14039,9,9.730532,1.896304,2.494885
14043,11,6.474251,0.670411,-6.684952
14046,10,9.711378,1.977711,2.509251
14050,9,9.759263,1.810109,2.600235
14054,11,6.512560,0.000000,-6.479040
14058,10,9.835883,1.230682,2.863611
14062,9,9.883769,0.928998,3.036002
14065,11,0.076618,0.612947,-6.129469
14069,10,9.907711,0.445344,3.289801
14073,9,9.907711,0.134082,3.366419
14077,11,0.038309,2.954596,-6.148623
14082,10,9.826305,-0.339994,3.519656
14085,9,9.764053,-0.435767,3.596274
14089,11,6.593967,2.662488,-6.129469
14093,10,9.634759,-0.263376,3.562754
14097,9,9.596450,-0.033521,3.529233
14101,11,6.435942,0.229855,-6.287494
14104,10,9.524621,0.536328,3.433460
14108,9,9.519831,0.766184,3.476558
14112,11,6.747204,0.325628,-6.148623
14116,10,9.629970,1.201951,3.591485
14120,9,9.711378,1.379130,3.754300
14124,11,6.761570,0.004789,-5.305821
14128,10,9.878980,1.192373,3.941057
14132,9,9.993907,1.043925,3.984155
14136,11,0.229855,0.272953,-5.521310
14140,10,10.142355,0.766184,3.826129
14143,9,10.204608,0.660833,3.907536
14147,11,0.392669,0.469287,-5.554831
14151,10,10.324324,0.421401,3.840495
14155,9,10.420097,0.359149,3.754300
14159,11,0.114928,0.028732,-6.129469
14163,10,10.716994,0.512385,3.285012
14167,9,10.884596,0.521963,3.112621
14171,11,1.225894,0.038309,-6.780725
14175,10,11.138394,0.469287,2.854034
14179,9,11.305997,0.411824,2.681643
14183,11,1.302512,0.344783,-4.932307
14187,10,11.612470,0.545906,2.097428
14191,9,11.708244,0.689565,1.886727
14194,11,1.264203,0.086196,-5.526099
14198,10,11.760918,0.785338,1.608985
14202,9,11.698666,0.785338,1.527578
14206,11,1.699970,0.143659,-5.669758
14211,10,11.555006,0.790127,1.168430
14215,9,11.507121,0.828436,1.000827
14218,11,1.685604,0.804493,-6.364112
