0.248,-0.051,-30.844,-0.037
0.038,-151.217,0.272,-0.063,-30.266,-0.037
0.053,-151.637,0.271,-0.081,-29.120,-0.047
0.031,-151.961,0.307,-0.096,-28.271,-0.051
0.038,-153.274,0.316,-0.114,-27.440,-0.058
0.025,-154.122,0.331,-0.133,-26.766,-0.066
0.035,-155.006,0.363,-0.152,-26.154,-0.076
0.025,-156.205,0.384,-0.170,-25.576,-0.087
0.026,-157.229,0.422,-0.186,-24.605,-0.100
0.035,-158.708,0.446,-0.206,-23.144,-0.110
0.047,-159.635,0.462,-0.224,-22.094,-0.122
0.050,-161.411,0.493,-0.241,-21.236,-0.130
0.051,-162.523,0.522,-0.257,-19.792,-0.135
0.047,-163.914,0.558,-0.271,-18.489,-0.139
0.075,-164.509,0.571,-0.288,-16.608,-0.143
0.080,-166.792,0.559,-0.305,-16.083,-0.144
0.072,-168.061,0.565,-0.324,-15.575,-0.138
0.088,-169.269,0.551,-0.347,-14.403,-0.138
0.090,-170.783,0.515,-0.363,-14.438,-0.142
0.098,-171.579,0.498,-0.388,-14.989,-0.135
0.084,-173.303,0.486,-0.408,-14.954,-0.134
0.069,-174.484,0.469,-0.431,-14.656,-0.138
0.088,-174.930,0.449,-0.459,-14.017,-0.145
0.090,-176.540,0.419,-0.481,-13.886,-0.153
0.110,-176.969,0.389,-0.506,-13.773,-0.164
0.121,-177.958,0.352,-0.527,-13.781,-0.164
0.135,-177.564,0.349,-0.562,-13.807,-0.174
0.137,-178.762,0.352,-0.598,-12.512,-0.181
0.139,-179.471,0.329,-0.622,-9.896,-0.188
0.147,-179.891,0.260,-0.649,-4.506,-0.203
0.158,-181.965,0.151,-0.658,0.403,-0.207
0.153,-182.254,0.087,-0.664,4.323,-0.204
0.146,-179.970,0.074,-0.666,4.279,-0.195
0.137,-177.100,0.097,-0.673,0.805,-0.178
0.132,-173.792,0.131,-0.695,-8.374,-0.167
0.122,-170.004,0.168,-0.708,-16.056,-0.163
0.114,-167.860,0.190,-0.721,-24.316,-0.160
0.106,-165.340,0.167,-0.728,-29.295,-0.165
0.083,-161.621,0.165,-0.739,-32.996,-0.166
0.004,-158.865,0.187,-0.745,-36.050,-0.159
-0.033,-157.264,0.171,-0.742,-36.654,-0.171
-0.045,-155.759,0.147,-0.739,-35.901,-0.186
-0.049,-153.947,0.118,-0.738,-34.431,-0.197
-0.097,-149.310,0.128,-0.742,-32.970,-0.210
-0.109,-146.423,0.097,-0.746,-29.295,-0.228
-0.103,-143.395,0.087,-0.755,-25.401,-0.232
