0.129,-139.720,-0.422,0.007,6.204,-0.026
0.132,-140.087,-0.428,0.010,6.282,-0.028
0.132,-140.245,-0.429,0.011,6.125,-0.027
0.133,-140.219,-0.434,0.013,6.099,-0.032
0.134,-140.096,-0.423,0.012,5.889,-0.028
0.138,-140.122,-0.417,0.012,5.110,-0.031
0.143,-140.105,-0.414,0.015,4.532,-0.028
0.139,-140.193,-0.412,0.015,4.253,-0.030
0.145,-140.691,-0.410,0.014,4.253,-0.032
0.145,-140.569,-0.419,0.014,3.727,-0.033
0.140,-140.473,-0.426,0.015,3.203,-0.031
0.139,-140.595,-0.431,0.014,1.934,-0.028
0.133,-140.691,-0.431,0.015,1.067,-0.030
0.129,-140.779,-0.430,0.018,0.096,-0.033
0.124,-141.208,-0.432,0.022,-1.050,-0.034
0.121,-141.776,-0.417,0.025,-2.021,-0.034
0.121,-141.592,-0.413,0.029,-3.299,-0.039
0.115,-141.768,-0.409,0.032,-3.815,-0.042
0.112,-141.584,-0.405,0.033,-4.637,-0.047
0.113,-141.146,-0.396,0.034,-5.390,-0.047
0.109,-141.190,-0.386,0.036,-5.819,-0.049
0.107,-140.805,-0.376,0.038,-6.344,-0.049
0.101,-140.700,-0.366,0.039,-7.044,-0.052
0.101,-140.717,-0.359,0.041,-7.586,-0.053
0.099,-140.796,-0.366,0.043,-7.875,-0.056
0.097,-141.277,-0.369,0.045,-8.269,-0.055
0.094,-141.417,-0.359,0.047,-8.033,-0.054
0.089,-141.759,-0.348,0.048,-7.665,-0.054
0.090,-142.152,-0.339,0.046,-7.298,-0.055
0.085,-142.109,-0.328,0.046,-6.475,-0.053
0.085,-141.908,-0.331,0.040,-5.600,-0.055
0.078,-141.610,-0.340,0.040,-4.664,-0.052
0.078,-141.934,-0.338,0.039,-3.824,-0.054
0.075,-141.628,-0.331,0.038,-3.526,-0.055
0.071,-140.945,-0.320,0.037,-3.176,-0.050
0.073,-141.190,-0.317,0.036,-2.914,-0.051
0.072,-140.368,-0.304,0.037,-2.678,-0.049
0.074,-139.886,-0.301,0.037,-2.249,-0.043
0.074,-139.580,-0.304,0.037,-1.575,-0.043
0.077,-139.755,-0.306,0.037,-0.831,-0.046
0.082,-139.449,-0.326,0.038,-0.175,-0.043
0.084,-139.764,-0.331,0.038,0.429,-0.043
0.086,-139.834,-0.331,0.039,0.621,-0.040
0.092,-140.018,-0.333,0.039,0.621,-0.041
0.098,-140.070,-0.333,0.040,0.665,-0.041
0.104,-140.473,-0.331,0.042,0.604,-0.041
0.109,-141.094,-0.338,0.043,0.735,-0.044
0.112,-141.059,-0.343,0.042,0.709,-0.042
0.122,-141.181,-0.352,0.043,0.577,-0.043
0.123,-141.514,-0.356,0.042,0.569,-0.045
0.132,-141.768,-0.362,0.041,0.394,-0.045
0.135,-141.995,-0.373,0.038,0.543,-0.044
0.137,-142.056,-0.385,0.034,0.805,-0.044
0.138,-142.363,-0.387,0.034,0.840,-0.044
0.136,-141.916,-0.397,0.032,0.429,-0.043
0.137,-141.969,-0.407,0.031,0.254,-0.045
0.138,-141.837,-0.409,0.026,0.079,-0.043
0.137,-141.697,-0.409,0.024,0.341,-0.044
0.140,-141.452,-0.408,0.020,0.577,-0.045
0.134,-141.190,-0.414,0.017,0.779,-0.044
0.130,-140.630,-0.417,0.017,1.015,-0.044
0.126,-140.158,-0.424,0.015,0.971,-0.046
0.121,-139.991,-0.440,0.014,0.639,-0.047
0.119,-139.449,-0.440,0.016,0.455,-0.044
0.111,-139.484,-0.458,0.014,0.184,-0.043
0.109,-139.011,-0.460,0.014,-0.394,-0.045
0.103,-138.845,-0.467,0.015,-0.683,-0.042
0.104,-138.451,-0.457,0.016,-1.312,-0.043
0.105,-138.372,-0.446,0.016,-1.575,-0.042
0.106,-138.618,-0.437,0.015,-2.170,-0.044
0.103,-138.775,-0.416,0.016,-2.599,-0.043
0.101,-138.740,-0.400,0.014,-3.176,-0.041
0.101,-138.311,-0.371,0.012,-3.684,-0.037
0.102,-138.346,-0.338,0.008,-4.699,-0.036
0.103,-137.743,-0.291,0.003,-5.600,-0.035
0.100,-137.393,-0.260,-0.008,-5.880,-0.033
0.100,-137.471,-0.226,-0.021,-5.959,-0.033
0.096,-137.393,-0.214,-0.039,-5.714,-0.028
0.082,-137.226,-0.194,-0.052,-5.390,-0.028
0.063,-137.182,-0.194,-0.066,-4.611,-0.025
0.047,-137.812,-0.199,-0.075,-4.340,-0.025
0.027,-137.979,-0.204,-0.080,-4.305,-0.022
0.014,-138.906,-0.207,-0.084,-4.043,-0.023
-0.002,-139.633,-0.214,-0.088,-3.876,-0.020
-0.012,-141.068,-0.200,-0.089,-3.185,-0.023
-0.017,-141.452,-0.199,-0.087,-2.783,-0.027
-0.017,-142.345,-0.187,-0.088,-2.651,-0.027
-0.013,-143.159,-0.195,-0.085,-2.030,-0.037
-0.008,-143.911,-0.205,-0.079,-1.689,-0.049
-0.000,-144.410,-0.213,-0.072,-1.006,-0.060
0.007,-145.810,-0.228,-0.067,-0.184,-0.067
0.019,-146.247,-0.236,-0.058,0.840,-0.081
0.029,-146.335,-0.240,-0.056,2.021,-0.091
0.042,-146.624,-0.236,-0.053,3.071,-0.103
0.051,-146.773,-0.233,-0.053,4.165,-0.108
0.060,-147.201,-0.214,-0.051,5.093,-0.117
0.066,-147.053,-0.185,-0.049,5.863,-0.118
0.068,-146.449,-0.156,-0.045,5.688,-0.117
0.072,-146.204,-0.125,-0.041,4.795,-0.115
0.071,-145.784,-0.085,-0.031,3.351,-0.110
0.077,-145.644,-0.030,-0.027,1.592,-0.108
0.080,-145.443,0.016,-0.019,-0.866,-0.102
0.086,-145.171,0.084,-0.009,-2.940,-0.099
0.090,-144.795,0.137,0.004,-6.554,-0.095
0.095,-145.040,0.215,0.014,-9.721,-0.095
0.100,-145.110,0.280,0.027,-14.044,-0.097
0.112,-144.900,0.374,0.036,-18.034,-0.096
0.121,-145.784,0.435,0.042,-23.538,-0.099
0.134,-147.280,0.520,0.042,-27.773,-0.102
0.152,-148.654,0.574,0.038,-33.434,-0.107
0.171,-152.303,0.637,0.029,-37.721,-0.110
0.193,-154.709,0.687,0.003,-43.925,-0.111
0.216,-158.051,0.731,-0.022,-48.108,-0.112
0.231,-160.694,0.758,-0.068,-53.576,-0.112
0.250,-163.406,0.798,-0.110,-57.251,-0.111
0.264,-165.515,0.811,-0.167,-62.116,-0.110
0.284,-167.676,0.824,-0.213,-65.695,-0.107
0.285,-170.056,0.830,-0.273,-70.455,-0.108
0.292,-171.395,0.827,-0.329,-75.066,-0.109
0.296,-172.874,0.796,-0.369,-78.207,-0.114
0.291,-174.807,0.776,-0.415,-82.512,-0.115
0.277,-176.724,0.753,-0.447,-85.356,-0.123
0.263,-177.739,0.731,-0.486,-88.463,-0.133
0.236,-179.970,0.717,-0.527,-89.994,-0.155
0.196,-182.368,0.706,-0.544,-90.650,-0.170
0.184,-184.363,0.693,-0.577,-90.519,-0.197
0.150,-188.020,0.695,-0.604,-89.757,-0.226
0.101,-191.721,0.709,-0.637,-87.605,-0.273
0.062,-196.298,0.724,-0.657,-84.849,-0.337
0.062,-200.664,0.697,-0.688,-80.754,-0.388
