-0.009,-142.905,-0.453,0.045,-22.199,-0.059
-0.010,-142.993,-0.463,0.041,-23.415,-0.058
-0.011,-142.695,-0.476,0.040,-23.389,-0.058
-0.013,-142.678,-0.438,0.042,-23.511,-0.056
-0.015,-142.590,-0.428,0.044,-23.809,-0.053
-0.016,-142.914,-0.439,0.044,-24.202,-0.059
-0.019,-142.844,-0.435,0.047,-24.605,-0.062
-0.022,-142.975,-0.417,0.047,-24.237,-0.055
-0.027,-142.914,-0.404,0.048,-23.888,-0.061
-0.027,-142.712,-0.388,0.050,-23.266,-0.060
-0.029,-142.844,-0.369,0.053,-22.146,-0.061
-0.032,-142.984,-0.380,0.051,-22.155,-0.063
-0.034,-143.421,-0.378,0.052,-21.551,-0.063
-0.036,-143.290,-0.368,0.053,-20.755,-0.062
-0.038,-143.194,-0.341,0.055,-19.766,-0.062
-0.040,-142.345,-0.339,0.057,-18.847,-0.060
-0.044,-142.039,-0.325,0.058,-17.710,-0.057
-0.044,-141.260,-0.304,0.062,-17.080,-0.053
-0.045,-141.173,-0.293,0.067,-16.336,-0.051
-0.044,-140.779,-0.287,0.070,-14.901,-0.052
-0.046,-140.866,-0.287,0.074,-14.193,-0.051
-0.047,-140.639,-0.275,0.078,-13.046,-0.054
-0.052,-141.496,-0.260,0.081,-12.346,-0.053
-0.057,-142.030,-0.249,0.087,-11.699,-0.050
-0.063,-142.774,-0.256,0.093,-10.885,-0.050
-0.071,-143.211,-0.238,0.102,-9.844,-0.049
-0.079,-143.062,-0.192,0.110,-8.566,-0.052
-0.088,-142.152,-0.162,0.122,-6.755,-0.055
-0.095,-141.654,-0.122,0.130,-3.938,-0.058
-0.102,-141.732,-0.060,0.145,-2.231,-0.057
-0.109,-141.759,-0.024,0.160,0.928,-0.060
-0.122,-141.916,0.046,0.175,3.509,-0.068
-0.133,-142.450,0.092,0.193,6.291,-0.064
-0.137,-142.861,0.134,0.211,8.645,-0.067
-0.137,-143.115,0.183,0.225,12.443,-0.067
-0.134,-143.841,0.253,0.245,14.998,-0.064
-0.124,-144.042,0.285,0.262,17.798,-0.061
-0.114,-144.104,0.328,0.282,19.372,-0.058
-0.112,-144.489,0.350,0.296,21.542,-0.043
-0.109,-145.320,0.340,0.316,21.919,-0.036
-0.112,-145.705,0.339,0.330,21.455,-0.028
-0.116,-147.385,0.332,0.347,21.499,-0.019
-0.121,-148.452,0.312,0.361,20.011,-0.004
-0.131,-149.485,0.291,0.379,19.259,0.005
-0.141,-151.235,0.289,0.393,18.952,0.017
-0.146,-152.845,0.250,0.407,18.778,0.027
-0.152,-155.601,0.178,0.419,17.885,0.034
-0.159,-157.115,0.148,0.434,17.001,0.042
-0.176,-160.221,0.099,0.445,16.485,0.049
-0.187,-161.604,0.054,0.461,15.251,0.052
-0.231,-152.005,3.160,0.471,13.606,0.057
-0.300,-164.920,-0.208,0.471,28.595,0.042
-0.256,-163.765,0.289,0.467,3.229,0.062
-0.185,-180.154,-0.465,0.530,5.521,0.036
-0.295,-175.717,-0.259,0.520,18.594,0.055
-0.254,-181.256,0.142,0.534,16.336,0.060
-0.176,-181.921,-0.199,0.528,11.541,0.083
-0.152,-183.330,-0.131,0.540,15.846,0.111
-0.137,-183.111,-0.175,0.545,16.354,0.162
-0.130,-179.515,-0.205,0.545,16.056,0.192
-0.120,-178.780,-0.205,0.547,14.131,0.232
-0.116,-177.240,-0.267,0.543,12.092,0.259
-0.123,-175.726,-0.326,0.540,9.887,0.292
-0.133,-172.716,-0.379,0.537,9.188,0.307
-0.139,-170.398,-0.403,0.532,7.700,0.326
-0.137,-167.423,-0.446,0.524,8.015,0.338
-0.139,-164.413,-0.488,0.521,9.345,0.343
-0.127,-162.269,-0.510,0.513,11.620,0.355
-0.109,-160.003,-0.557,0.508,14.376,0.364
-0.088,-158.655,-0.587,0.493,17.806,0.376
-0.067,-157.369,-0.637,0.480,20.029,0.380
-0.045,-155.514,-0.692,0.459,22.417,0.382
-0.021,-154.814,-0.658,0.443,24.255,0.382
-0.028,-155.435,-0.655,0.417,26.486,0.383
-0.027,-155.557,-0.579,0.394,25.716,0.382
-0.036,-155.995,-0.501,0.357,26.521,0.378
-0.039,-157.194,-0.485,0.328,26.040,0.372
-0.037,-156.310,-0.514,0.286,24.456,0.372
-0.038,-155.286,-0.511,0.256,22.881,0.377
-0.040,-153.361,-0.507,0.211,20.186,0.378
-0.066,-148.505,-0.486,0.175,17.964,0.379
-0.089,-145.311,-0.480,0.129,15.418,0.387
-0.123,-142.467,-0.497,0.097,15.146,0.383
-0.145,-141.041,-0.453,0.052,16.424,0.370
-0.170,-139.633,-0.403,0.019,18.690,0.362
-0.191,-139.029,-0.392,-0.026,22.409,0.348
-0.202,-137.760,-0.391,-0.062,26.101,0.324
-0.208,-137.436,-0.378,-0.107,30.625,0.314
-0.206,-136.447,-0.393,-0.149,35.586,0.294
-0.208,-136.316,-0.375,-0.178,40.049,0.283
-0.201,-135.345,-0.367,-0.219,46.104,0.267
