t,sensor,ax,ay,az,gx,gy,gz
1595320394.190485,17,0.0,-0.9924297924297925,0.0,0.0,0.33577533577533575,0.015262515262515262
1595320394.206581,27,0.0,-1.0002442002442002,0.06251526251526252,0.015262515262515262,0.0,-1.6941391941391941
1595320394.221342,22,0.0,-0.9992673992673993,0.0,0.0,0.0,0.0
1595320394.235473,6,0.0009768009768009768,-0.9982905982905983,0.06349206349206349,0.1221001221001221,0.496031746031746,-1.9536019536019535
1595320394.255422,13,0.002197802197802198,-1.0002442002442002,0.06251526251526252,0.9768009768009768,0.06868131868131867,0.007631257631257631
1595320394.269991,19,0.0009768009768009768,-1.0002442002442002,0.06251526251526252,0.9768009768009768,0.007631257631257631,0.1221001221001221
1595320394.284497,26,0.0,-0.9924297924297925,0.06251526251526252,0.0,0.4884004884004884,-1.9078144078144077
1595320394.298986,17,0.0,-1.0002442002442002,0.0019536019536019536,0.0,0.9768009768009768,-1.9536019536019535
1595320394.313732,27,0.0009768009768009768,-0.9982905982905983,0.06275946275946276,0.007631257631257631,1.0378510378510377,-1.9154456654456653
1595320394.328876,22,0.0,-1.0002442002442002,0.003907203907203907,1.465201465201465,0.0,-1.7094017094017093
1595320394.344065,6,0.005860805860805861,-1.0002442002442002,0.06251526251526252,1.0989010989010988,1.0378510378510377,-1.9536019536019535
1595320394.358279,13,0.0,-0.9924297924297925,0.06446886446886446,0.4884004884004884,0.9768009768009768,-0.9768009768009768
1595320394.374136,19,0.0,-1.0,0.06446886446886446,0.9768009768009768,0.9844322344322344,0.0
1595320394.388536,26,0.0,-1.0002442002442002,0.06349206349206349,0.0,0.6105006105006104,-1.404151404151404
1595320394.403179,17,0.0009768009768009768,-1.0002442002442002,0.0,0.030525030525030524,0.06105006105006105,-1.9536019536019535
1595320394.417804,27,0.005372405372405372,-1.0,0.06251526251526252,0.0,0.38156288156288154,-1.9536019536019535
1595320394.432389,22,0.0,-0.9973137973137973,0.0009768009768009768,0.0,0.6105006105006104,-1.9536019536019535
1595320394.446813,6,0.0019536019536019536,-0.9978021978021978,0.06642246642246642,0.2442002442002442,0.030525030525030524,-1.9536019536019535
1595320394.461385,13,0.0002442002442002442,-0.9924297924297925,0.06642246642246642,0.0,0.030525030525030524,0.0
1595320394.481556,19,0.0,-1.0002442002442002,0.06251526251526252,0.030525030525030524,0.0,0.0
1595320394.496034,26,0.0,-0.9992673992673993,0.07032967032967033,0.0,0.007631257631257631,0.0
1595320394.510433,17,0.0,-1.0002442002442002,0.0009768009768009768,0.0,0.7326007326007326,0.0
1595320394.524899,27,0.008058608058608058,-1.0002442002442002,0.06251526251526252,0.0,1.9536019536019535,0.030525030525030524
1595320394.539311,22,0.0009768009768009768,-1.9882783882783883,0.002197802197802198,0.2442002442002442,1.9536019536019535,0.0
1595320394.553862,6,0.005860805860805861,-1.0002442002442002,0.063003663003663,0.1221001221001221,1.9536019536019535,0.1221001221001221
1595320394.568262,13,0.0,-0.9885225885225886,0.07814407814407814,0.007631257631257631,0.9768009768009768,0.5418192918192918
1595320394.582781,19,0.0,-1.0002442002442002,0.06251526251526252,0.0,0.0,0.09157509157509157
1595320394.597262,26,0.0,-0.999023199023199,0.0713064713064713,0.2442002442002442,2.045177045177045,0.7326007326007326
1595320394.611705,17,0.0,-0.9914529914529915,0.0,0.0,0.0,0.0
1595320394.62593,27,0.0019536019536019536,-1.0002442002442002,0.06251526251526252,0.4884004884004884,1.9536019536019535,0.2442002442002442
1595320394.640252,22,0.0,-1.0002442002442002,0.0,0.030525030525030524,0.0,0.0
1595320394.654707,6,0.0019536019536019536,-0.9963369963369964,0.06837606837606838,1.3583638583638584,1.9536019536019535,0.0
1595320394.66913,13,0.0,-0.9978021978021978,0.06251526251526252,0.1221001221001221,1.9536019536019535,0.2442002442002442
1595320394.684161,19,0.0004884004884004884,-0.9914529914529915,0.06251526251526252,0.0,0.5189255189255189,0.0
1595320394.698268,26,0.0009768009768009768,-1.0002442002442002,0.07032967032967033,0.1221001221001221,1.9536019536019535,0.7478632478632479
1595320394.712803,17,0.0,-1.0002442002442002,0.0,0.0,0.0,0.0
1595320394.727639,27,0.0,-1.0002442002442002,0.06349206349206349,1.9536019536019535,0.4884004884004884,0.015262515262515262
1595320394.74215,22,0.0,-1.0,0.0,0.5036630036630036,0.2442002442002442,0.0
1595320394.756537,6,0.0019536019536019536,-0.9997557997557998,0.063003663003663,0.1221001221001221,1.9536019536019535,0.007631257631257631
1595320394.770972,13,0.007814407814407814,-1.0002442002442002,0.06251526251526252,0.0,1.984126984126984,0.0
1595320394.785329,19,0.0,-0.9995115995115995,0.06251526251526252,0.0,0.0,0.0
1595320394.799924,26,0.007814407814407814,-0.9982905982905983,0.06446886446886446,0.13736263736263735,0.496031746031746,0.0
1595320394.81539,17,0.0009768009768009768,-1.0002442002442002,0.0,0.1221001221001221,0.0,0.1221001221001221
1595320394.833237,27,0.0,-1.0002442002442002,0.06251526251526252,0.015262515262515262,0.1221001221001221,0.0
1595320394.847762,22,0.0,-1.0002442002442002,0.0,0.0,0.0,0.2442002442002442
1595320394.862014,6,0.0,-0.9953601953601954,0.07032967032967033,0.0,1.9536019536019535,0.5265567765567766
1595320394.876328,13,0.007814407814407814,-0.9924297924297925,0.0002442002442002442,0.2747252747252747,1.465201465201465,0.4884004884004884
1595320394.890695,19,0.0,-1.0002442002442002,0.0,0.015262515262515262,0.0,0.0
1595320394.904934,26,0.0019536019536019536,-0.9982905982905983,0.07814407814407814,0.2518315018315018,0.9768009768009768,0.022893772893772892
1595320394.921156,17,0.007814407814407814,-0.9941391941391942,0.019536019536019536,0.015262515262515262,0.0,0.0
1595320394.935451,27,0.010256410256410256,-1.0002442002442002,0.07814407814407814,0.5036630036630036,0.1221001221001221,0.2442002442002442
1595320394.949913,22,0.0019536019536019536,-0.9982905982905983,0.0002442002442002442,0.0,0.045787545787545784,0.1221001221001221
1595320394.964437,6,0.0,-0.9997557997557998,0.0652014652014652,0.0,0.0,0.0
1595320394.978687,13,0.007814407814407814,-0.9992673992673993,0.08009768009768009,0.4884004884004884,0.06105006105006105,0.1221001221001221
1595320394.993262,19,0.0019536019536019536,-1.0002442002442002,0.0002442002442002442,0.4884004884004884,0.1221001221001221,0.0
1595320395.011963,26,0.0009768009768009768,-0.9960927960927961,0.06349206349206349,0.2442002442002442,0.25946275946275943,0.0
1595320395.026635,17,0.007814407814407814,-0.9963369963369964,0.06275946275946276,1.9536019536019535,0.06105006105006105,0.1221001221001221
1595320395.040989,27,0.007814407814407814,-1.0002442002442002,0.06251526251526252,1.9536019536019535,0.0,0.0
1595320395.055438,22,0.0004884004884004884,-0.9924297924297925,0.0004884004884004884,0.0,0.992063492063492,0.015262515262515262
1595320395.069854,6,0.0,-1.0002442002442002,0.06251526251526252,0.0,1.2362637362637363,0.015262515262515262
1595320395.084312,13,0.0002442002442002442,-0.9958485958485959,0.0,0.12973137973137971,1.0378510378510377,0.9768009768009768
1595320395.09875,19,0.0,-1.0002442002442002,0.0,0.0,0.0,0.0
1595320395.113148,26,0.003907203907203907,-1.0002442002442002,0.0,0.4655067155067155,0.0,0.030525030525030524
1595320395.127962,17,0.0,-0.9377289377289377,0.0009768009768009768,0.015262515262515262,0.0,0.0
1595320395.142431,27,0.0,-0.9296703296703297,0.0,0.5494505494505494,0.0,0.1221001221001221
1595320395.156632,22,0.01562881562881563,-1.0002442002442002,0.005860805860805861,0.0,0.015262515262515262,0.06105006105006105
1595320395.171166,6,0.01562881562881563,-1.0002442002442002,0.007814407814407814,0.09157509157509157,0.0,0.030525030525030524
1595320395.185686,13,0.017826617826617826,-0.9347985347985348,0.004151404151404151,0.496031746031746,0.0,3.4569597069597067
1595320395.200172,19,0.01562881562881563,-1.0002442002442002,0.0,0.0,0.0,0.0
1595320395.214591,26,0.0002442002442002442,-0.9997557997557998,0.003907203907203907,0.5036630036630036,0.9768009768009768,3.2356532356532357
1595320395.229118,17,0.0,-0.9377289377289377,0.0019536019536019536,0.0,0.0,0.0
1595320395.243565,27,0.0004884004884004884,-0.9367521367521368,0.0,0.0,0.7326007326007326,0.0
1595320395.257748,22,0.01562881562881563,-1.0002442002442002,0.0,0.0,0.0,0.12973137973137971
1595320395.272482,6,0.013675213675213675,-0.968986568986569,0.01562881562881563,0.06105006105006105,1.9536019536019535,0.496031746031746
1595320395.293105,13,0.01562881562881563,-0.9655677655677656,0.007814407814407814,0.3052503052503052,1.1141636141636142,0.9768009768009768
1595320395.307481,19,0.003907203907203907,-1.0002442002442002,0.0,0.0,0.0,0.0
1595320395.321686,26,0.0,-1.0002442002442002,0.01562881562881563,0.015262515262515262,0.3663003663003663,1.2896825396825395
1595320395.336131,17,0.0,-1.0002442002442002,0.0019536019536019536,0.0,0.1221001221001221,0.007631257631257631
1595320395.35034,27,0.0009768009768009768,-1.0002442002442002,0.0009768009768009768,0.06105006105006105,1.0073260073260073,0.496031746031746
1595320395.364925,22,0.007814407814407814,-1.0002442002442002,0.003907203907203907,1.9536019536019535,0.0,0.030525030525030524
1595320395.379236,6,0.0,-0.998046398046398,0.0007326007326007326,6.8528693528693525,1.465201465201465,0.0
1595320395.39383,13,0.015873015873015872,-0.9631257631257631,0.008791208791208791,7.997557997557998,2.0985958485958487,3.975885225885226
1595320395.408384,19,0.0,-1.0002442002442002,0.0,0.0,0.0,0.0
1595320395.422895,26,0.0,-1.0002442002442002,0.06251526251526252,0.0,0.0,0.18315018315018314
1595320395.437507,17,0.002197802197802198,-1.0002442002442002,0.0,0.0,0.0,0.0
1595320395.453302,27,0.015873015873015872,-1.0002442002442002,0.06642246642246642,0.007631257631257631,0.496031746031746,1.4880952380952381
1595320395.467926,22,0.0,-2.0004884004884005,0.01807081807081807,0.0,0.2747252747252747,0.0
1595320395.482448,6,0.007814407814407814,-1.0002442002442002,0.08009768009768009,0.0,0.0,1.984126984126984
1595320395.496714,13,0.0002442002442002442,-1.0002442002442002,0.06642246642246642,-3.8003663003663,0.5494505494505494,0.0
1595320395.511233,19,0.016117216117216115,-0.9973137973137973,0.0,0.0,0.0,0.0
1595320395.525701,26,0.0,-1.0002442002442002,0.008302808302808303,0.2442002442002442,0.1221001221001221,0.18315018315018314
1595320395.548836,17,0.0,-1.0002442002442002,0.0,0.022893772893772892,0.1221001221001221,0.0
1595320395.563373,27,0.007814407814407814,-0.9982905982905983,0.0,0.06105006105006105,0.0,0.0
1595320395.578633,22,0.0002442002442002442,-0.9963369963369964,0.02442002442002442,0.0,0.0,0.015262515262515262
1595320395.593212,6,0.002197802197802198,-0.9992673992673993,0.023443223443223443,1.9536019536019535,6.845238095238095,0.3663003663003663
1595320395.611614,13,0.0004884004884004884,-0.9347985347985348,0.05982905982905983,0.0,0.0,0.0
1595320395.626065,19,0.0,-1.0002442002442002,0.0019536019536019536,0.0,0.0,0.0
1595320395.6404,26,0.0009768009768009768,-1.0,0.03125763125763126,1.2362637362637363,0.0,0.03815628815628815
1595320395.659506,17,0.019536019536019536,-1.0002442002442002,0.0007326007326007326,0.030525030525030524,0.015262515262515262,0.06868131868131867
1595320395.674082,27,0.0,-1.0,0.0009768009768009768,0.9768009768009768,3.9529914529914527,0.0
1595320395.688257,22,0.01562881562881563,-1.0002442002442002,0.0,0.5494505494505494,0.0,0.0
1595320395.702837,6,0.0,-1.0002442002442002,0.031746031746031744,0.3052503052503052,7.829670329670329,0.3052503052503052
1595320395.717364,13,0.0,-0.9533577533577533,0.04908424908424908,1.9612332112332111,-7.753357753357753,0.496031746031746
1595320395.733027,19,0.0,-1.0002442002442002,0.0,0.0,0.0,0.0
1595320395.747443,26,0.25006105006105006,-1.0,0.040048840048840045,0.015262515262515262,0.0,0.5494505494505494
1595320395.761929,17,0.07814407814407814,-1.0002442002442002,0.0,0.015262515262515262,2.93040293040293,0.0
1595320395.776317,27,0.0019536019536019536,-1.0002442002442002,0.04737484737484737,0.015262515262515262,7.875457875457875,0.16788766788766787
1595320395.790803,22,0.25787545787545785,-0.9921855921855922,0.0,0.1221001221001221,0.007631257631257631,0.2442002442002442
1595320395.805305,6,0.31306471306471306,-0.9992673992673993,0.0315018315018315,2.4420024420024418,0.0,0.0
1595320395.820007,13,-0.18705738705738706,-0.9846153846153847,0.009768009768009768,3.4188034188034186,-26.862026862026863,3.1746031746031744
1595320395.834797,19,0.0,-0.9846153846153847,0.0009768009768009768,0.0,0.0,0.0
1595320395.849158,26,0.0,-0.9763125763125763,0.0,2.1978021978021975,3.9377289377289375,0.2442002442002442
1595320395.863726,17,0.07032967032967033,-1.0002442002442002,0.0,0.0,0.2442002442002442,1.9536019536019535
1595320395.878165,27,0.03125763125763126,-1.0002442002442002,0.0,0.0,0.0,0.7631257631257631
1595320395.892713,22,0.0,-0.9924297924297925,0.0,0.4884004884004884,0.0,0.0
1595320395.907091,6,0.3125763125763126,-1.0002442002442002,0.02148962148962149,-25.38919413919414,0.0,0.0
1595320395.921544,13,-0.12503052503052503,-0.9526251526251526,0.0009768009768009768,-9.69932844932845,0.5036630036630036,2.503052503052503
1595320395.935966,19,0.0029304029304029304,-2.0004884004884005,0.017582417582417582,0.0,0.0,0.0
1595320395.950436,26,0.25787545787545785,-0.9978021978021978,0.007814407814407814,0.09157509157509157,3.968253968253968,0.0
1595320395.964973,17,0.12503052503052503,-0.9963369963369964,0.0,0.06105006105006105,3.907203907203907,0.0
1595320395.979383,27,0.2737484737484738,-1.9653235653235652,0.0,1.9536019536019535,-31.227106227106226,0.0
1595320395.993884,22,0.25054945054945055,-2.0004884004884005,0.12893772893772892,7.814407814407814,-60.56166056166056,0.2442002442002442
1595320396.008183,6,0.25006105006105006,-0.9924297924297925,0.12893772893772892,0.4884004884004884,-38.06471306471306,8.852258852258853
1595320396.022852,13,-0.09304029304029304,-1.0,0.14065934065934066,0.351037851037851,0.030525030525030524,10.989010989010989
1595320396.03736,19,0.0,-1.0,0.126007326007326,0.0,0.0,0.0
1595320396.051779,26,0.019536019536019536,-0.9987789987789988,0.1894993894993895,1.0073260073260073,4.891636141636141,8.302808302808302
1595320396.066269,17,0.0,-0.9982905982905983,0.06251526251526252,0.0,3.907203907203907,0.015262515262515262
1595320396.080597,27,0.0002442002442002442,-1.9614163614163613,0.01562881562881563,1.9536019536019535,0.007631257631257631,0.06105006105006105
1595320396.09524,22,0.0,-1.0002442002442002,0.0,0.015262515262515262,0.2442002442002442,0.0
1595320396.109549,6,0.0,-0.9985347985347985,0.06251526251526252,0.007631257631257631,-15.14041514041514,0.12973137973137971
1595320396.124149,13,-0.16996336996336997,-0.9958485958485959,0.23443223443223443,3.571428571428571,-9.645909645909645,1.9536019536019535
1595320396.138735,19,0.0,-1.0002442002442002,0.18754578754578755,0.0,0.0,0.0
1595320396.153103,26,0.12503052503052503,-0.968986568986569,0.18754578754578755,0.0,0.015262515262515262,0.992063492063492
1595320396.167624,17,0.0,-1.0002442002442002,0.06251526251526252,0.4884004884004884,0.06105006105006105,0.9768009768009768
1595320396.181959,27,0.26666666666666666,-0.9997557997557998,0.1894993894993895,0.06105006105006105,5.921855921855921,0.0
1595320396.196188,22,0.0,-0.968986568986569,0.0004884004884004884,0.0,0.0,0.0
1595320396.210423,6,0.0029304029304029304,-0.9592185592185593,0.14065934065934066,0.0,1.9993894993894994,7.829670329670329
