"Eszkoz teszt (0) ...
"
"  MPU9250 (0) csatlakozas sikertelen
"
"Eszkoz teszt (1) ...
"
"  MPU9250 (1) csatlakozas sikertelen
"
"Eszkoz teszt (2) ...
"
"  MPU9250 (2) csatlakozas sikertelen
"
"88740	0	-2272	-7940	-15564	
"
"88740	1	224	8324	0	
"
"88740	2	-2248	-7900	-15448	
"
"114920	0	-2284	-7808	-15516	
"
"114920	1	292	8212	872	
"
"114920	2	-2088	-7912	-15256	
"
"141288	0	-2052	-7844	-15368	
"
"141288	1	308	8196	832	
"
"141288	2	-2128	-7940	-15492	
"
"167644	0	-2108	-7960	-15576	
"
"167644	1	224	8384	804	
"
"167644	2	-2172	-7920	-15584	
"
"194008	0	-2140	-8020	-15544	
"
"194008	1	132	8392	908	
"
"194008	2	-2164	-7960	-15456	
"
"220376	0	-2132	-7916	-15420	
"
"220376	1	272	8320	896	
"
"220376	2	-2128	-7824	-15488	
"
"246744	0	-2132	-7904	-15404	
"
"246744	1	260	8220	688	
"
"246744	2	-2096	-7920	-15368	
"
"273108	0	-2196	-7952	-15544	
"
"273108	1	288	8192	800	
"
"273108	2	-2184	-7884	-15444	
"
"299476	0	-2104	-7912	-15480	
"
"299476	1	176	8236	768	
"
"299476	2	-2080	-8016	-15576	
"
"325848	0	-2152	-7892	-15524	
"
"325848	1	200	8384	832	
"
"325848	2	-2080	-7948	-15540	
"
"352212	0	-2120	-7952	-15412	
"
"352212	1	272	8192	828	
"
"352212	2	-2152	-7956	-15432	
"
"378576	0	-2152	-7868	-15424	
"
"378576	1	160	8192	768	
"
"378576	2	-2104	-7920	-15556	
"
"404940	0	-2128	-7920	-15488	
"
"404940	1	272	8320	772	
"
"404940	2	-2088	-8008	-15520	
"
"431308	0	-2228	-7888	-15504	
"
"431308	1	288	8320	768	
"
"431308	2	-2128	-7924	-15420	
"
"457688	0	-2084	-7976	-15380	
"
"457688	1	320	8328	900	
"
"457688	2	-2108	-7936	-15360	
"
"484048	0	-2180	-7868	-15428	
"
"484048	1	268	8224	768	
"
"484048	2	-2168	-7940	-15444	
"
"510412	0	-2104	-7984	-15524	
"
"510412	1	260	8192	900	
"
"510412	2	-2180	-7972	-15372	
"
