"85960 	 0 	-3928 	16408 	-5036 	
";20014356;0;-3096;16484;-5116
"85960 	 1 	128 	14980 	-7168 	
";20014356;1;1072;80;-7660
"85960 	 2 	-3940 	16344 	-5160 	
";20014356;2;-3068;16492;-5040
"112388 	 0 	-3892 	16340 	-5096 	
";20041396;0;-3008;16512;-5164
"112388 	 1 	148 	15108 	-7168 	
";20041396;1;1044;72;-7544
"112388 	 2 	-3940 	16300 	-5108 	
";20041396;2;-2972;16548;-5132
"138984 	 0 	-4000 	16240 	-5160 	
";20068436;0;-3040;16492;-5184
"138984 	 1 	56 	14988 	-8048 	
";20068436;1;1088;4;-7676
"138984 	 2 	-3912 	16396 	-5184 	
";20068436;2;-2976;16528;-5084
"165520 	 0 	-3956 	16340 	-5228 	
";20095216;0;-3028;16464;-5176
"165520 	 1 	0 	14976 	-7992 	
";20095216;1;1092;8;-7544
"165520 	 2 	-4020 	16344 	-5156 	
";20095216;2;-3068;16480;-5176
"192000 	 0 	-4040 	16260 	-5224 	
";20121992;0;-3028;16572;-5128
"192000 	 1 	40 	14976 	-7788 	
";20121992;1;1064;0;-7148
"192000 	 2 	-4012 	16288 	-5104 	
";20121992;2;-3084;16464;-5192
"218524 	 0 	-3972 	16244 	-5172 	
";20148776;0;-3076;16484;-5076
"218524 	 1 	136 	15140 	-7132 	
";20148776;1;1028;0;-7144
"218524 	 2 	-3924 	16432 	-5156 	
";20148776;2;-3060;16552;-5056
"245116 	 0 	-3884 	16388 	-5112 	
";20175556;0;-3008;16516;-5196
"245116 	 1 	192 	15040 	-7856 	
";20175556;1;1024;0;-7160
"245116 	 2 	-3920 	16340 	-5084 	
";20175556;2;-3016;16508;-5148
"271712 	 0 	-3956 	16356 	-5196 	
";20202336;0;-2984;16572;-5104
"271712 	 1 	64 	14884 	-8060 	
";20202336;1;1096;16;-7548
"271712 	 2 	-3960 	16260 	-5192 	
";20202336;2;-3036;16540;-5108
"298252 	 0 	-4004 	16256 	-5232 	
";20229376;0;-3008;16512;-5156
"298252 	 1 	60 	14876 	-8192 	
";20229376;1;1064;100;-7624
"298252 	 2 	-4016 	16240 	-5212 	
";20229376;2;-3032;16432;-5148
"324796 	 0 	-3988 	16312 	-5284 	
";20256672;0;-3068;16512;-5140
"324796 	 1 	64 	15008 	-8152 	
";20256672;1;1048;32;-7160
"324796 	 2 	-3972 	16204 	-5100 	
";20256672;2;-3100;16436;-5100
"351324 	 0 	-3892 	16364 	-5072 	
";20283712;0;-3092;16488;-5076
"351324 	 1 	16 	52 	-7872 	
";20283712;1;1088;80;-7144
"351324 	 2 	-3772 	16376 	-4956 	
";20283712;2;-2948;16456;-5220
"377736 	 0 	-3816 	16436 	-5004 	
";20310756;0;-2980;16516;-5128
