-37.1,0.5
-37.1,0.5
-37.1,0.5
-37.2,0.5
-37.2,0.5
-37.2,0.5
-37.2,0.5
-37.2,0.5
-37.2,0.5
-37.2,0.5
-37.2,0.5
-37.2,0.5
-37.2,0.5
-37.2,0.5
-37.3,0.5
-37.3,0.5
-37.4,0.4
-37.5,0.4
-37.7,0.4
-37.7,0.3
-37.8,0.3
-37.8,0.3
-37.8,0.2
-37.9,0.2
-38.1,0.2
-38.3,0.1
-39.1,-0.2
-42.8,-1.3
-44.2,-3.3
-4-0.8,-3.6
-33.7,-3.1
-25.9,-1.8
-18.6,-0.4
-13.3,0.4
-10.6,0.4
-12.6,-0.0
-19.2,-0.9
-27.8,1.2
-32.7,-0.8
-37.0,-1.7
-38.8,-1.9
-39.3,-1.6
-39.3,-1.1
-40.0,-1.7
-40.5,-2.7
-41.0,-3.6
-41.2,-4.1
-44.4,-5.1
-53.2,-4.5
-71.2,-5.7
-95.6,-9.7
-103.1,-9.5
-94.3,-7.1
-75.9,-8.5
-57.4,-6.5
-38.2,-3.2
-21.3,0.8
-9.5,4.9
-13.7,3.8
-34.6,4.1
-44.7,3.0
-46.8,1.9
-47.3,1.6
-48.0,0.4
-48.3,-0.3
-48.3,-0.8
-48.2,-1.2
-49.5,-2.1
-55.9,-2.3
-69.3,-1.3
-95.3,-4.3
-109.4,-8.9
-102.7,-9.1
-84.2,-7.7
-65.8,-7.3
-46.5,-5.2
-30.4,-1.2
-17.0,4.0
-16.5,5.2
-33.1,4.1
-42.9,2.3
-45.8,-0.0
-46.2,-0.8
-46.0,-0.9
-45.6,-0.9
-45.7,-0.9
-45.8,-1.0
-46.1,-1.6
-47.5,-2.9
-53.2,-3.2
-66.0,-3.9
-90.2,-10.9
-97.3,-12.7
-91.4,-7.4
-76.9,-6.6
-60.7,-5.3
-44.3,-2.4
-30.5,0.7
-20.0,7.6
-17.3,12.2
-24.6,11.5
-34.6,11.1
-39.3,10.0
-40.4,9.5
-40.9,9.2
-41.5,8.4
-42.3,7.3
-42.8,6.2
-43.2,5.6
-43.7,5.1
-44.8,4.4
-47.0,3.7
-53.8,4.4
-68.4,5.0
-71.6,5.4
-64.9,3.7
-56.2,8.1
-47.8,18.5
-42.6,33.6
-42.9,47.0
-44.8,51.8
-43.8,51.6
-43.7,52.0
-43.6,52.3
-43.5,52.4
-43.5,52.4
-43.4,52.4

