Format Version,1.23,Take Name,sub01_boksz,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 02.40.08.022 DU.,Capture Start Frame,10077229,Total Frames in Take,1559,Total Exported Frames,1559,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.022182,-0.029660,-0.004090,-0.999306,0.289614,1.318675,1.129282,0.000192,0.325402,1.269408,1.159528,0.969024,0.242596,1.329387,1.063468,0.970631,0.300843,1.357229,1.164848,0.978142,-0.020997,-0.043613,0.000408,-0.998828,0.291566,1.068746,1.075783,0.000092,0.250891,1.058525,1.030131,0.989768,0.327748,1.109875,1.125465,0.976050,0.296059,1.037838,1.071753,0.984170,,,,0.250846,1.058537,1.030086,0.327737,1.109837,1.125443,0.296116,1.037862,1.071819,0.325559,1.269321,1.159722,0.242502,1.329540,1.063401,0.300781,1.357163,1.164722
7,0.070000,-0.021588,-0.030030,-0.005190,-0.999302,0.287382,1.319182,1.127659,0.000205,0.323302,1.270030,1.157937,0.931866,0.240295,1.329714,1.061867,0.951749,0.298549,1.357802,1.163175,0.953328,-0.020844,-0.043674,-0.000486,-0.998828,0.289697,1.069134,1.074583,0.000061,0.249036,1.058829,1.028937,0.991301,0.325809,1.110339,1.124252,0.986049,0.294245,1.038233,1.070559,0.990496,,,,0.249041,1.058861,1.028950,0.325777,1.110316,1.124213,0.294272,1.038225,1.070585,0.323464,1.269944,1.158139,0.240209,1.329879,1.061816,0.298474,1.357723,1.163023
8,0.080000,-0.021809,-0.029718,-0.006869,-0.999297,0.285165,1.319672,1.126114,0.000166,0.321228,1.270624,1.156389,0.931866,0.238089,1.330084,1.060294,0.951749,0.296179,1.358310,1.161658,0.953328,-0.019481,-0.043260,-0.000710,-0.998874,0.287789,1.069518,1.073305,0.000143,0.247173,1.059068,1.027653,0.991301,0.323837,1.110878,1.122893,0.986049,0.292357,1.038609,1.069369,0.990496,,,,0.247150,1.059117,1.027643,0.323785,1.110815,1.122821,0.292432,1.038624,1.069451,0.321354,1.270548,1.156542,0.237989,1.330192,1.060196,0.296153,1.358278,1.161603
9,0.090000,-0.019675,-0.030904,-0.006521,-0.999308,0.282984,1.320138,1.124331,0.000227,0.319093,1.271202,1.154732,0.928997,0.235758,1.330291,1.058578,0.952448,0.294102,1.358922,1.159682,0.960492,-0.020075,-0.043563,-0.001465,-0.998848,0.285866,1.069919,1.071928,0.000145,0.245238,1.059466,1.026286,0.983246,0.321882,1.111270,1.121547,0.973267,0.290477,1.039022,1.067950,0.961970,,,,0.245192,1.059469,1.026238,0.321855,1.111181,1.121493,0.290551,1.039108,1.068052,0.319261,1.271079,1.154925,0.235668,1.330447,1.058518,0.294024,1.358889,1.159549
10,0.100000,-0.019720,-0.031488,-0.008684,-0.999272,0.280735,1.320621,1.122550,0.000129,0.317088,1.271835,1.152901,0.928997,0.233394,1.330582,1.056850,0.952448,0.291722,1.359445,1.157898,0.960492,-0.019423,-0.044406,-0.002555,-0.998821,0.283959,1.070250,1.070500,0.000122,0.243281,1.059650,1.024938,0.983246,0.319962,1.111742,1.120010,0.973267,0.288634,1.039359,1.066553,0.961970,,,,0.243234,1.059685,1.024900,0.319931,1.111691,1.119963,0.288711,1.039375,1.066638,0.317168,1.271837,1.153021,0.233344,1.330678,1.056824,0.291692,1.359347,1.157805
11,0.110000,-0.018142,-0.031662,-0.008620,-0.999297,0.278457,1.320984,1.120935,0.000192,0.314820,1.272294,1.151429,0.941829,0.231095,1.330739,1.055220,0.962379,0.289457,1.359919,1.156157,0.967477,-0.019191,-0.044125,-0.002360,-0.998839,0.281972,1.070671,1.069021,0.000094,0.241315,1.060064,1.023441,0.981377,0.317963,1.112173,1.118531,0.991242,0.286637,1.039776,1.065090,0.976828,,,,0.241262,1.060087,1.023393,0.317952,1.112146,1.118512,0.286700,1.039780,1.065158,0.314958,1.272186,1.151583,0.231025,1.330864,1.055176,0.289389,1.359901,1.156047
12,0.120000,-0.018174,-0.032314,-0.009958,-0.999263,0.276203,1.321465,1.119137,0.000110,0.312735,1.272869,1.149579,0.941829,0.228733,1.331101,1.053483,0.962379,0.287142,1.360425,1.154350,0.967477,-0.020598,-0.046526,-0.006265,-0.998685,0.280101,1.071014,1.067398,0.000041,0.239314,1.060235,1.021975,0.981377,0.316000,1.112640,1.116871,0.991242,0.284987,1.040169,1.063348,0.976828,,,,0.239308,1.060216,1.021963,0.315997,1.112601,1.116856,0.284997,1.040225,1.063375,0.312824,1.272834,1.149693,0.228689,1.331197,1.053465,0.287097,1.360364,1.154254
13,0.130000,-0.017406,-0.032587,-0.010766,-0.999259,0.273896,1.321828,1.117383,0.000181,0.310525,1.273338,1.147879,0.944663,0.226377,1.331286,1.051739,0.961184,0.284787,1.360859,1.152533,0.948368,-0.017914,-0.045444,-0.004157,-0.998798,0.278063,1.071338,1.066053,0.000041,0.237330,1.060469,1.020604,0.993419,0.314025,1.113093,1.115371,0.992028,0.282835,1.040451,1.062185,0.990948,,,,0.237324,1.060495,1.020605,0.314006,1.113082,1.115348,0.282860,1.040436,1.062207,0.310658,1.273277,1.148045,0.226329,1.331434,1.051739,0.284703,1.360772,1.152366
14,0.140000,-0.016601,-0.032884,-0.010835,-0.999263,0.271583,1.322234,1.115618,0.000184,0.308239,1.273801,1.146171,0.944663,0.224024,1.331577,1.049986,0.961184,0.282486,1.361323,1.150699,0.948368,-0.016969,-0.044876,-0.003592,-0.998842,0.276086,1.071760,1.064484,0.000088,0.235393,1.060846,1.019009,0.993419,0.312037,1.113572,1.113761,0.992028,0.280829,1.040860,1.060681,0.990948,,,,0.235367,1.060850,1.018984,0.312019,1.113520,1.113728,0.280873,1.040909,1.060740,0.308370,1.273721,1.146326,0.223972,1.331712,1.049973,0.282408,1.361268,1.150556
15,0.150000,-0.017060,-0.032971,-0.012801,-0.999229,0.269228,1.322654,1.113796,0.000190,0.306076,1.274332,1.144293,0.960641,0.221625,1.331880,1.048179,0.968621,0.279983,1.361749,1.148916,0.942374,-0.017034,-0.046065,-0.006208,-0.998774,0.274151,1.072080,1.062895,0.000115,0.233411,1.060969,1.017510,0.986107,0.309995,1.114064,1.112106,0.979536,0.279048,1.041208,1.059070,0.970638,,,,0.233372,1.060976,1.017472,0.309972,1.113997,1.112064,0.279109,1.041267,1.059151,0.306153,1.274370,1.144425,0.221603,1.332001,1.048205,0.279929,1.361590,1.148758
