Format Version,1.23,Take Name,sub01_karemeles,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 02.42.19.501 DU.,Capture Start Frame,10090377,Total Frames in Take,3881,Total Exported Frames,3881,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.078910,-0.105545,-0.018497,-0.991106,0.228895,1.320031,1.165658,0.000189,0.269869,1.269079,1.184306,0.956209,0.172161,1.336233,1.109306,0.959112,0.244655,1.354782,1.203360,0.996933,-0.018863,-0.038092,0.002510,-0.999093,0.229777,1.067912,1.103911,0.000086,0.189561,1.057658,1.057861,0.982188,0.265588,1.109110,1.153804,0.996572,0.234181,1.036968,1.100067,0.980077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189509,1.057682,1.057812,0.265582,1.109098,1.153795,0.234239,1.036955,1.100126,0.269985,1.268995,1.184393,0.172044,1.336311,1.109215,0.244657,1.354788,1.203365
7,0.070000,-0.078975,-0.105267,-0.018418,-0.991132,0.228876,1.320030,1.165709,0.000184,0.269829,1.269066,1.184374,0.958028,0.172175,1.336251,1.109328,0.957920,0.244623,1.354773,1.203424,0.999744,-0.018576,-0.037883,0.002892,-0.999105,0.229727,1.067903,1.103929,0.000076,0.189522,1.057652,1.057870,0.983632,0.265549,1.109105,1.153811,0.992188,0.234110,1.036953,1.100106,0.979074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189479,1.057684,1.057832,0.265534,1.109087,1.153790,0.234168,1.036938,1.100164,0.269946,1.268986,1.184464,0.172058,1.336331,1.109238,0.244623,1.354772,1.203424
8,0.080000,-0.079045,-0.105049,-0.018452,-0.991149,0.228842,1.320041,1.165748,0.000182,0.269788,1.269075,1.184423,0.958028,0.172166,1.336269,1.109345,0.957920,0.244572,1.354778,1.203476,0.999744,-0.018803,-0.037905,0.002614,-0.999101,0.229650,1.067897,1.103945,0.000086,0.189449,1.057646,1.057882,0.983632,0.265451,1.109094,1.153846,0.992188,0.234050,1.036951,1.100107,0.979074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189415,1.057680,1.057854,0.265427,1.109065,1.153812,0.234108,1.036946,1.100169,0.269905,1.268997,1.184515,0.172048,1.336350,1.109255,0.244573,1.354774,1.203475
9,0.090000,-0.079064,-0.105039,-0.018391,-0.991150,0.228807,1.320056,1.165767,0.000180,0.269746,1.269084,1.184441,0.956968,0.172134,1.336293,1.109364,0.959969,0.244541,1.354791,1.203496,0.996985,-0.018784,-0.037853,0.002636,-0.999103,0.229598,1.067919,1.103965,0.000088,0.189401,1.057667,1.057898,0.983681,0.265396,1.109116,1.153867,0.988060,0.233996,1.036973,1.100129,0.976702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189357,1.057697,1.057859,0.265376,1.109085,1.153838,0.234059,1.036975,1.100197,0.269865,1.268997,1.184530,0.172023,1.336375,1.109282,0.244532,1.354795,1.203488
10,0.100000,-0.079038,-0.105193,-0.018344,-0.991136,0.228768,1.320083,1.165798,0.000178,0.269710,1.269110,1.184462,0.956968,0.172078,1.336320,1.109411,0.959969,0.244516,1.354819,1.203519,0.996985,-0.018754,-0.037988,0.002575,-0.999099,0.229539,1.067937,1.103980,0.000085,0.189332,1.057678,1.057925,0.983681,0.265345,1.109142,1.153871,0.988060,0.233941,1.036991,1.100144,0.976702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189295,1.057708,1.057894,0.265324,1.109111,1.153839,0.233999,1.036993,1.100207,0.269826,1.269030,1.184552,0.171964,1.336401,1.109326,0.244513,1.354817,1.203514
11,0.110000,-0.079053,-0.105396,-0.018235,-0.991115,0.228710,1.320089,1.165803,0.000193,0.269651,1.269108,1.184450,0.955187,0.171999,1.336337,1.109440,0.957094,0.244481,1.354822,1.203517,0.998070,-0.018661,-0.037993,0.002759,-0.999100,0.229468,1.067979,1.103988,0.000080,0.189256,1.057725,1.057936,0.993123,0.265290,1.109181,1.153870,0.985045,0.233859,1.037030,1.100159,0.983053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189240,1.057743,1.057923,0.265266,1.109140,1.153834,0.233899,1.037053,1.100208,0.269775,1.269018,1.184543,0.171880,1.336422,1.109351,0.244476,1.354827,1.203514
12,0.120000,-0.079123,-0.105626,-0.018272,-0.991085,0.228649,1.320122,1.165804,0.000187,0.269602,1.269142,1.184425,0.955187,0.171910,1.336372,1.109470,0.957094,0.244433,1.354851,1.203516,0.998070,-0.018528,-0.037912,0.002851,-0.999105,0.229408,1.067999,1.104017,0.000080,0.189202,1.057740,1.057960,0.993123,0.265230,1.109208,1.153893,0.985045,0.233794,1.037049,1.100196,0.983053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189176,1.057755,1.057937,0.265210,1.109169,1.153861,0.233839,1.037073,1.100251,0.269721,1.269055,1.184512,0.171796,1.336452,1.109383,0.244429,1.354857,1.203516
13,0.130000,-0.079086,-0.105915,-0.018170,-0.991059,0.228592,1.320131,1.165816,0.000180,0.269549,1.269147,1.184418,0.957131,0.171822,1.336384,1.109514,0.960165,0.244404,1.354861,1.203516,0.996989,-0.018720,-0.038050,0.002672,-0.999097,0.229337,1.068017,1.104042,0.000067,0.189122,1.057763,1.057993,0.991977,0.265158,1.109219,1.153926,0.988619,0.233733,1.037070,1.100208,0.984262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189100,1.057776,1.057973,0.265141,1.109187,1.153899,0.233771,1.037090,1.100255,0.269668,1.269060,1.184506,0.171712,1.336466,1.109434,0.244395,1.354866,1.203509
14,0.140000,-0.078916,-0.106216,-0.018029,-0.991043,0.228542,1.320135,1.165836,0.000182,0.269501,1.269150,1.184432,0.957131,0.171741,1.336377,1.109563,0.960165,0.244384,1.354876,1.203513,0.996989,-0.018492,-0.037941,0.003049,-0.999104,0.229283,1.068020,1.104080,0.000075,0.189070,1.057773,1.058028,0.991977,0.265124,1.109220,1.153951,0.988619,0.233657,1.037068,1.100262,0.984262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189043,1.057785,1.058002,0.265108,1.109181,1.153923,0.233700,1.037095,1.100316,0.269622,1.269067,1.184525,0.171625,1.336462,1.109478,0.244379,1.354874,1.203506
15,0.150000,-0.078925,-0.106338,-0.017976,-0.991030,0.228493,1.320137,1.165837,0.000190,0.269452,1.269149,1.184422,0.955353,0.171680,1.336385,1.109578,0.958076,0.244348,1.354877,1.203510,0.997290,-0.018120,-0.037857,0.003388,-0.999113,0.229229,1.068019,1.104138,0.000107,0.189015,1.057763,1.058087,0.984736,0.265088,1.109234,1.153982,0.982866,0.233582,1.037061,1.100344,0.973254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188973,1.057781,1.058046,0.265066,1.109182,1.153944,0.233646,1.037095,1.100423,0.269576,1.269058,1.184513,0.171563,1.336470,1.109492,0.244341,1.354884,1.203505
