Format Version,1.23,Take Name,sub01_gyors_nyomas,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-10-20 02.38.46.846 DU.,Capture Start Frame,10069111,Total Frames in Take,4746,Total Exported Frames,4746,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.015549,-0.082862,-0.049881,-0.995190,0.300713,1.346489,1.139895,0.001158,0.343946,1.301265,1.166515,0.738168,0.246321,1.351723,1.079307,0.752836,0.311871,1.386477,1.173864,0.981919,-0.013174,-0.158967,-0.018268,-0.987027,0.299659,1.094183,1.082979,0.000483,0.250109,1.081472,1.047962,0.922287,0.344400,1.137660,1.122691,0.927381,0.304468,1.063417,1.078285,0.878005,0.249844,1.081591,1.047822,0.344267,1.137454,1.122553,0.304867,1.063505,1.078563,0.344646,1.300846,1.167109,0.245635,1.352056,1.078683,0.311865,1.386553,1.173896
7,0.070000,-0.014946,-0.083987,-0.049944,-0.995102,0.300818,1.346499,1.139506,0.001153,0.344121,1.301322,1.166090,0.738281,0.246291,1.351640,1.079031,0.750585,0.312040,1.386535,1.173399,0.988027,-0.012816,-0.160232,-0.018269,-0.986827,0.299681,1.094158,1.082743,0.000482,0.250043,1.081413,1.047862,0.920156,0.344516,1.137672,1.122308,0.929524,0.304483,1.063388,1.078060,0.877347,0.249781,1.081533,1.047725,0.344380,1.137466,1.122170,0.304880,1.063473,1.078335,0.344850,1.300910,1.166718,0.245596,1.351995,1.078410,0.312024,1.386580,1.173404
8,0.080000,-0.014700,-0.085121,-0.050474,-0.994983,0.300913,1.346498,1.139143,0.001169,0.344328,1.301384,1.165652,0.738281,0.246246,1.351546,1.078786,0.750585,0.312165,1.386564,1.172989,0.988027,-0.012553,-0.161523,-0.017997,-0.986625,0.299735,1.094109,1.082511,0.000453,0.250002,1.081362,1.047768,0.920156,0.344691,1.137630,1.121931,0.929524,0.304513,1.063335,1.077835,0.877347,0.249727,1.081463,1.047619,0.344583,1.137443,1.121816,0.304896,1.063421,1.078100,0.345054,1.300982,1.166279,0.245526,1.351903,1.078144,0.312161,1.386602,1.173005
9,0.090000,-0.014366,-0.086366,-0.050805,-0.994864,0.301023,1.346495,1.138794,0.001212,0.344537,1.301434,1.165229,0.724288,0.246204,1.351457,1.078568,0.729776,0.312328,1.386595,1.172583,0.995240,-0.012066,-0.162411,-0.017775,-0.986489,0.299772,1.094056,1.082282,0.000491,0.249974,1.081284,1.047641,0.910667,0.344810,1.137607,1.121575,0.937022,0.304533,1.063275,1.077630,0.873886,0.249673,1.081384,1.047476,0.344703,1.137411,1.121459,0.304941,1.063371,1.077911,0.345310,1.301025,1.165902,0.245447,1.351843,1.077901,0.312320,1.386612,1.172584
10,0.100000,-0.014224,-0.087732,-0.051266,-0.994722,0.301139,1.346471,1.138465,0.001229,0.344769,1.301462,1.164797,0.724288,0.246152,1.351358,1.078387,0.729776,0.312495,1.386594,1.172211,0.995240,-0.011924,-0.163301,-0.017755,-0.986345,0.299820,1.093997,1.082016,0.000508,0.249960,1.081214,1.047468,0.910667,0.344926,1.137563,1.121214,0.937022,0.304574,1.063216,1.077365,0.873886,0.249649,1.081325,1.047300,0.344809,1.137358,1.121089,0.305002,1.063309,1.077658,0.345540,1.301067,1.165469,0.245365,1.351751,1.077695,0.312500,1.386601,1.172220
11,0.110000,-0.014475,-0.088459,-0.046219,-0.994902,0.300572,1.346379,1.137790,0.000501,0.343788,1.300945,1.164074,0.976191,0.245541,1.351793,1.077797,0.891475,0.312385,1.386400,1.171498,0.891551,-0.011893,-0.164017,-0.017782,-0.986225,0.299892,1.093940,1.081771,0.000496,0.249982,1.081149,1.047296,0.909705,0.345051,1.137512,1.120900,0.934715,0.304641,1.063158,1.077115,0.871346,0.249679,1.081258,1.047133,0.344936,1.137312,1.120778,0.305060,1.063249,1.077400,0.343833,1.300861,1.164083,0.245293,1.351682,1.077458,0.312589,1.386595,1.171828
12,0.120000,-0.014326,-0.089464,-0.046266,-0.994812,0.300625,1.346321,1.137481,0.000508,0.343902,1.300903,1.163696,0.976191,0.245474,1.351703,1.077596,0.891475,0.312500,1.386356,1.171150,0.891551,-0.011625,-0.164436,-0.017987,-0.986155,0.299953,1.093903,1.081521,0.000523,0.250021,1.081071,1.047094,0.909705,0.345123,1.137517,1.120592,0.934715,0.304714,1.063122,1.076876,0.871346,0.249703,1.081196,1.046926,0.344991,1.137301,1.120456,0.305164,1.063213,1.077180,0.343962,1.300814,1.163720,0.245218,1.351606,1.077255,0.312697,1.386542,1.171467
13,0.130000,-0.014230,-0.090057,-0.046370,-0.994755,0.300689,1.346263,1.137228,0.000509,0.344007,1.300861,1.163403,0.975438,0.245467,1.351618,1.077407,0.888243,0.312594,1.386309,1.170875,0.892842,-0.011804,-0.164833,-0.018353,-0.986080,0.300072,1.093843,1.081287,0.000515,0.250122,1.080993,1.046895,0.906136,0.345244,1.137468,1.120342,0.928644,0.304850,1.063067,1.076625,0.863913,0.249809,1.081123,1.046732,0.345109,1.137257,1.120205,0.305298,1.063148,1.076924,0.344061,1.300782,1.163424,0.245205,1.351514,1.077060,0.312801,1.386492,1.171202
14,0.140000,-0.014219,-0.090247,-0.046307,-0.994741,0.300738,1.346198,1.137026,0.000511,0.344061,1.300792,1.163187,0.975438,0.245493,1.351556,1.077226,0.888243,0.312660,1.386244,1.170666,0.892842,-0.011879,-0.164862,-0.018482,-0.986072,0.300184,1.093795,1.081035,0.000525,0.250234,1.080940,1.046643,0.906136,0.345348,1.137424,1.120095,0.928644,0.304969,1.063021,1.076366,0.863913,0.249910,1.081066,1.046472,0.345222,1.137217,1.119965,0.305419,1.063103,1.076668,0.344109,1.300709,1.163199,0.245236,1.351446,1.076880,0.312869,1.386437,1.171000
15,0.150000,-0.014336,-0.090217,-0.046242,-0.994745,0.300788,1.346126,1.136865,0.000517,0.344103,1.300708,1.163017,0.972763,0.245547,1.351506,1.077063,0.887488,0.312715,1.386163,1.170514,0.894045,-0.011808,-0.164905,-0.018747,-0.986061,0.300312,1.093746,1.080828,0.000517,0.250367,1.080862,1.046441,0.906102,0.345456,1.137402,1.119883,0.929953,0.305114,1.062974,1.076161,0.864672,0.250052,1.080980,1.046274,0.345329,1.137189,1.119751,0.305555,1.063068,1.076459,0.344165,1.300623,1.163043,0.245281,1.351408,1.076713,0.312918,1.386347,1.170837
16,0.160000,-0.014399,-0.089771,-0.046248,-0.994784,0.300856,1.346050,1.136726,0.000486,0.344147,1.300628,1.162909,0.972763,0.245668,1.351442,1.076876,0.887488,0.312754,1.386082,1.170392,0.894045,-0.011771,-0.164975,-0.019006,-0.986044,0.300426,1.093702,1.080596,0.000537,0.250483,1.080792,1.046216,0.906102,0.345553,1.137381,1.119645,0.929953,0.305244,1.062933,1.075927,0.864672,0.250153,1.080908,1.046039,0.345430,1.137166,1.119515,0.305696,1.063031,1.076234,0.344195,1.300545,1.162922,0.245425,1.351339,1.076548,0.312948,1.386266,1.170707
17,0.170000,-0.014081,-0.089454,-0.051812,-0.994543,0.301573,1.346083,1.136949,0.001308,0.345346,1.301135,1.163148,0.693147,0.246374,1.350884,1.077059,0.703127,0.312997,1.386231,1.170641,0.992579,-0.011800,-0.165191,-0.019248,-0.986003,0.300544,1.093668,1.080351,0.000516,0.250592,1.080739,1.045991,0.908198,0.345666,1.137364,1.119386,0.927408,0.305374,1.062902,1.075676,0.864573,0.250283,1.080848,1.045825,0.345539,1.137141,1.119251,0.305810,1.063016,1.075977,0.346213,1.300708,1.163905,0.245537,1.351321,1.076339,0.312984,1.386217,1.170619
18,0.180000,-0.014670,-0.088485,-0.046389,-0.994889,0.300980,1.346007,1.136478,0.000501,0.344212,1.300575,1.162741,0.693147,0.245944,1.351429,1.076491,0.703127,0.312784,1.386018,1.170202,0.992579,-0.012060,-0.165627,-0.019799,-0.985916,0.300647,1.093667,1.080112,0.000512,0.250677,1.080711,1.045787,0.908198,0.345759,1.137382,1.119137,0.927408,0.305504,1.062909,1.075413,0.864573,0.250370,1.080810,1.045621,0.345641,1.137162,1.119008,0.305929,1.063030,1.075708,0.344271,1.300498,1.162769,0.245684,1.351334,1.076146,0.312986,1.386190,1.170519
19,0.190000,-0.014718,-0.088323,-0.052080,-0.994621,0.301669,1.346077,1.136688,0.001284,0.345402,1.301108,1.162919,0.696149,0.246602,1.350943,1.076683,0.708223,0.313004,1.386181,1.170463,0.990733,-0.012143,-0.165670,-0.019920,-0.985905,0.300734,1.093691,1.079876,0.000509,0.250765,1.080731,1.045553,0.908819,0.345841,1.137407,1.118905,0.932839,0.305597,1.062935,1.075169,0.869046,0.250456,1.080826,1.045384,0.345731,1.137195,1.118783,0.306017,1.063052,1.075460,0.346258,1.300688,1.163673,0.245780,1.351377,1.075976,0.312988,1.386163,1.170435
20,0.200000,-0.014942,-0.088049,-0.052334,-0.994628,0.301730,1.346118,1.136566,0.001310,0.345470,1.301155,1.162797,0.696149,0.246692,1.350989,1.076534,0.708223,0.313029,1.386209,1.170368,0.990733,-0.012125,-0.165857,-0.020170,-0.985869,0.300853,1.093737,1.079643,0.000503,0.250877,1.080753,1.045338,0.908819,0.345952,1.137474,1.118657,0.932839,0.305730,1.062984,1.074933,0.869046,0.250581,1.080862,1.045182,0.345824,1.137255,1.118523,0.306155,1.063094,1.075225,0.346331,1.300717,1.163547,0.245865,1.351419,1.075818,0.313014,1.386210,1.170351
21,0.210000,-0.015134,-0.088088,-0.052139,-0.994632,0.301758,1.346162,1.136432,0.001303,0.345481,1.301172,1.162642,0.690806,0.246715,1.351077,1.076407,0.709132,0.313077,1.386237,1.170246,0.991491,-0.012117,-0.165530,-0.020292,-0.985922,0.300985,1.093795,1.079420,0.000526,0.251035,1.080800,1.045081,0.917485,0.346048,1.137542,1.118466,0.920046,0.305872,1.063043,1.074712,0.867018,0.250758,1.080905,1.044935,0.345906,1.137298,1.118316,0.306292,1.063182,1.075008,0.346352,1.300731,1.163402,0.245897,1.351509,1.075701,0.313055,1.386233,1.170219
