⸮-2554	7442	-2281	844	508	-87	
-2409	7450	-2225	998	338	-132	
-2434	7495	-2326	1084	412	-189	
-2430	7546	-2443	1063	543	-238	
-2454	7500	-2579	1009	655	-258	
-2286	7459	-2758	980	781	-271	
-2325	7354	-2973	959	996	-327	
-2574	7250	-3066	973	946	-415	
-2387	7131	-3046	1040	778	-529	
-1899	7048	-3077	1098	1003	-633	
-1699	6932	-3262	1095	1528	-706	
-1864	6858	-3459	1021	1833	-722	
-1664	6820	-3604	823	1881	-696	
-1245	6783	-3702	450	2140	-597	
-1588	6665	-3901	-32	2167	-428	
-2411	6471	-4486	-212	1321	-266	
-1553	6051	-5111	-125	601	-138	
-1581	5758	-5428	-329	765	26	
-1465	5865	-5340	-492	648	94	
-1010	6531	-4703	-700	801	206	
-696	7267	-4130	-942	1071	346	
-1054	7613	-4018	-1183	1188	484	
-2193	7597	-3834	-1358	709	635	
-2058	7411	-3533	-1449	357	703	
-951	8378	-2777	-1417	474	654	
-1897	9084	-1755	-1267	837	602	
231	7852	-2504	-1089	602	481	
212	7690	-3288	-1036	837	288	
-107	7908	-3359	-1096	730	115	
-175	7739	-3097	-1176	853	-3	
-333	7717	-2596	-1199	651	-59	
-287	7763	-2464	-1201	677	-88	
-602	7752	-2384	-1240	575	-101	
-581	7787	-2219	-1279	408	-82	
-627	7771	-1656	-1279	201	-49	
-436	7807	-1177	-1204	-42	-40	
-290	7787	-873	-1078	-228	-38	
-548	7865	-722	-953	-450	-33	
-367	7921	-481	-809	-888	-64	
211	8001	-351	-703	-836	-121	
132	8003	-388	-686	-304	-164	
-50	8060	-354	-630	-244	-224	
109	8089	-261	-599	40	-294	
97	8109	-427	-642	418	-352	
-102	8128	-435	-669	496	-421	
76	8232	-863	-769	702	-512	
-940	8290	-1319	-965	576	-548	
-1129	8297	-1524	-1250	92	-549	
-1721	8228	-1217	-1567	-307	-510	
-1691	8025	-399	-1802	-701	-438	
-1611	7960	388	-1721	-847	-417	
-1768	8288	653	-1354	-1590	-375	
-1236	8137	982	-1021	-2435	-237	
-931	7984	1651	-793	-2495	-108	
-1188	7595	1356	-50	-2377	-73	
-1003	7567	339	1168	-2201	-148	
-1406	7297	-325	2293	-1687	-203	
-1751	7446	-1063	3315	-1594	-266	
-2045	7344	-1521	4028	-2002	-318	
-1560	7693	-1875	4447	-2580	-328	
-680	7908	-2397	4676	-2890	-357	
620	7840	-2770	4593	-2041	-438	
789	7709	-2928	4247	-360	-486	
-146	7748	-2895	3749	504	-413	
-456	7793	-2975	3021	437	-218	
-69	7936	-2766	1758	234	-45	
130	8255	-2380	260	631	-73	
91	8727	-2201	-1103	1324	-289	
-788	8706	-1961	-2170	2052	-430	
-1978	8287	-1633	-2617	2063	-313	
-2978	7352	-1786	-2096	916	65	
-1999	7711	-1687	-1419	-327	265	
-548	8285	-1224	-1215	-156	260	
-490	8500	-1689	-1050	99	317	
-1232	8429	-1702	-1015	-150	468	
-1736	8112	-1445	-973	74	426	
-1194	8028	-1375	-937	666	396	
-343	8040	-1291	-874	430	434	
235	8025	-1172	-802	391	402	
-68	8025	-1056	-720	797	306	
-192	7994	-973	-593	682	253	
-59	8010	-1023	-489	562	197	
-124	8019	-1013	-420	606	165	
-268	7998	-959	-388	566	142	
-148	8024	-892	-341	584	116	
-277	7982	-768	-280	493	86	
-93	8029	-657	-194	269	59	
-69	8050	-758	-129	105	27	
-61	8059	-892	-85	-90	-3	
113	8100	-969	-88	-111	-38	
-67	8078	-927	-101	-82	-80	
-1	8112	-958	-100	-182	-121	
38	8098	-865	-97	-228	-180	
-61	8069	-618	-84	-179	-225	
13	8054	-417	-24	-210	-268	
40	8092	-609	37	-179	-322	
-240	8108	-876	62	-242	-377	
-181	8132	-998	52	-290	-427	
-472	8070	-915	21	-283	-449	
-471	8049	-815	10	-180	-452	
-541	8035	-668	53	-162	-455	
-586	8023	-569	116	-210	-463	
-854	8025	-540	192	-368	-457	
-1082	8028	-689	237	-498	-432	
-1220	8037	-958	240	-566	-387	
-1346	8040	-1223	197	-604	-321	
-1280	8050	-1196	133	-609	-270	
-1189	8060	-1089	53	-435	-256	
-1400	8023	-1063	27	-588	-253	
-1022	8034	-919	12	-675	-238	
-1042	7982	-761	-2	-495	-232	
-1157	8007	-747	8	-324	-214	
-1253	7965	-840	28	-282	-209	
-1324	7989	-840	16	-283	-196	
-1466	8010	-822	25	-263	-180	
-1610	7930	-847	54	-328	-168	
-1575	7959	-888	69	-431	-154	
-1585	7927	-774	100	-498	-142	
-1429	7916	-594	145	-408	-123	
-1479	7958	-561	197	-283	-100	
-1467	7988	-669	240	-242	-69	
-1630	7993	-954	241	-206	-44	
-1793	7949	-1144	213	-305	-16	
-1592	7983	-1114	187	-339	-4	
-1506	8006	-1182	122	-303	11	
-1401	8027	-1129	78	-355	22	
-1356	8018	-1082	49	-291	18	
-1438	8020	-1241	-5	-155	9	
-1459	7967	-1218	-45	-177	-9	
-1432	8006	-1115	-78	-143	-30	
-1548	7979	-1049	-116	-131	-31	
-1593	7969	-1034	-141	-176	-27	
-1612	7922	-1052	-162	-195	-28	
-1677	7958	-975	-195	-197	-30	
-1706	7941	-827	-208	-249	-26	
-1603	7947	-634	-174	-357	-30	
-1538	7991	-563	-149	-359	-28	
-1555	7964	-532	-104	-332	-32	
-1580	7986	-489	-43	-360	-46	
-1624	7960	-595	-29	-406	-64	
-1547	8035	-805	-41	-549	-82	
-1359	7939	-903	-88	-469	-78	
-1393	8070	-1010	-172	-163	-78	
-1468	8098	-1095	-373	175	-63	
-1575	8071	-1043	-631	407	-52	
-1526	8127	-1004	-818	629	-40	
-2038	8137	-868	-831	543	-32	
-2391	8088	-439	-772	116	27	
-2570	8113	-254	-535	-450	118	
-2627	7893	-132	-194	-1223	250	
-1856	7381	-490	546	-2171	387	
-711	7341	-1181	1525	-1843	315	
-1250	7435	-1760	2199	-764	132	
-1706	7455	-2138	2582	-313	-36	
-1630	7515	-2240	2684	25	-203	
-1540	7683	-2254	2618	333	-278	
-1440	7726	-2123	2495	544	-204	
-1553	7738	-1978	2311	582	-75	
-1183	7844	-1891	2145	161	30	
-384	7780	-1960	1802	120	104	
191	7504	-1809	1128	371	199	
-49	7836	-1430	60	1174	317	
-2128	7756	-1764	-664	157	320	
-1663	7417	-2552	-392	-918	662	
-1604	7820	-1880	-419	-1227	853	
-714	8363	-1730	-287	-950	788	
-1051	9504	-1117	-132	585	373	
-2290	8382	-1892	-31	1059	313	
-1603	7569	-3197	53	-90	443	
-271	7697	-3325	-44	-165	442	
-236	7815	-3061	-215	451	329	
-534	7814	-2892	-302	537	268	
-416	7750	-2909	-377	573	226	
-388	7726	-2806	-451	634	196	
-543	7731	-2586	-485	592	188	
-515	7749	-2469	-484	479	183	
-456	7746	-2359	-470	399	177	
-209	7779	-2358	-460	380	164	
-325	7840	-2441	-488	300	142	
-384	7859	-2344	-538	179	127	
-397	7864	-2217	-551	-24	105	
25	7886	-2106	-552	-72	81	
179	7925	-2119	-581	10	39	
-205	7872	-1841	-535	-12	2	
-56	7903	-1683	-503	39	-10	
-173	7919	-1528	-498	177	-1	
-138	7908	-1411	-519	253	18	
-152	7922	-1252	-490	254	4	
-119	7917	-1160	-424	178	-22	
-153	7942	-1075	-341	61	-55	
-32	7950	-1030	-250	61	-83	
-78	7982	-1024	-186	29	-103	
-115	7989	-1117	-160	49	-117	
-132	8010	-1034	-131	61	-135	
-115	7990	-893	-79	58	-157	
-88	7998	-738	-1	51	-183	
-74	7990	-958	68	81	-213	
-368	8053	-1211	109	45	-220	
-354	8061	-1317	113	-27	-238	
-384	8035	-1361	81	48	-240	
-529	8032	-1286	70	-10	-232	
-533	7991	-1175	77	-97	-217	
-430	8013	-1185	91	-138	-210	
